epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.983,1.59927,2.97802,1.31729,0.38158,0.40449,0.28149,0.18317,1.3935,2.52091,1.30797,0.000133106,0.000133106,0.000133106
2,252.661,1.53351,1.90158,1.27377,0.32661,0.47438,0.35069,0.23611,1.34373,2.146,1.24085,0.000261164,0.000261164,0.000261164
3,375.938,1.49308,1.68221,1.25671,0.39594,0.50688,0.40269,0.28167,1.3165,1.82394,1.22235,0.000383941,0.000383941,0.000383941
4,498.98,1.47151,1.51294,1.24416,0.47637,0.53616,0.50187,0.35133,1.31613,1.55225,1.20113,0.00037624,0.00037624,0.00037624
5,621.989,1.43619,1.37751,1.21924,0.54107,0.58403,0.57186,0.42216,1.26393,1.35292,1.18914,0.00036832,0.00036832,0.00036832
6,745.125,1.40843,1.29136,1.21136,0.65309,0.58145,0.62837,0.47378,1.24771,1.22084,1.18815,0.0003604,0.0003604,0.0003604
7,869.377,1.4031,1.23328,1.20752,0.65105,0.65906,0.69045,0.51284,1.25052,1.12243,1.18421,0.00035248,0.00035248,0.00035248
8,993.44,1.38385,1.17726,1.19296,0.68277,0.65183,0.70309,0.53147,1.22431,1.06919,1.15904,0.00034456,0.00034456,0.00034456
9,1116.41,1.3636,1.13383,1.18229,0.70252,0.66436,0.72723,0.55237,1.22241,1.01444,1.16156,0.00033664,0.00033664,0.00033664
10,1239.33,1.35649,1.09848,1.1761,0.7372,0.65512,0.71771,0.54458,1.19935,1.0319,1.15093,0.00032872,0.00032872,0.00032872
11,1362.16,1.34586,1.06737,1.17537,0.77983,0.66624,0.74517,0.56949,1.21697,0.98356,1.14089,0.0003208,0.0003208,0.0003208
12,1484.15,1.3265,1.04237,1.16118,0.80767,0.72091,0.79478,0.60872,1.18946,0.90485,1.13403,0.00031288,0.00031288,0.00031288
13,1606.28,1.32251,1.02003,1.16312,0.80698,0.71271,0.79212,0.60743,1.18437,0.88871,1.12618,0.00030496,0.00030496,0.00030496
14,1729.52,1.32286,1.00231,1.16142,0.80399,0.73157,0.79781,0.61416,1.17274,0.87648,1.12739,0.00029704,0.00029704,0.00029704
15,1851.53,1.30936,0.98169,1.15336,0.79022,0.74405,0.80841,0.6265,1.16892,0.84506,1.13095,0.00028912,0.00028912,0.00028912
16,1973.62,1.30557,0.9586,1.15326,0.83725,0.74938,0.82117,0.63861,1.17146,0.80479,1.12595,0.0002812,0.0002812,0.0002812
17,2096.1,1.28578,0.9481,1.14418,0.81313,0.75726,0.82282,0.63907,1.16016,0.80972,1.12253,0.00027328,0.00027328,0.00027328
18,2219.22,1.29358,0.93622,1.14946,0.83862,0.75379,0.83701,0.64746,1.1547,0.79335,1.11093,0.00026536,0.00026536,0.00026536
19,2341.43,1.28015,0.91819,1.13705,0.82409,0.77574,0.83113,0.64426,1.14478,0.78574,1.11095,0.00025744,0.00025744,0.00025744
